Contains &lt,Contains And,Contains Percentage,Contains SRC,Containss Var,Contains Cookie,Contains Single Quote,Contains Question Mark,Contains Exclamation Mark,Contains Semicolon,Contains Close Parenthesis,Contains Greater Than,Contains Search,Contains Close Brace,Contains Alert,Letters Ratio,Numbuers Ratio,Symbols Ratio,Class
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.7204301075268817,0.086021505376344,0.1935483870967742,1
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0.696551724137931,0.0758620689655172,0.2275862068965517,1
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.692063492063492,0.1523809523809524,0.1555555555555555,0
0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0.6101694915254238,0.2203389830508474,0.1694915254237288,1
0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0.6341463414634146,0.1658536585365853,0.2,1
0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0.6,0.1166666666666666,0.2833333333333333,0
0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0.6,0.1714285714285714,0.2285714285714285,1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.7766203703703703,0.0034722222222222,0.2199074074074074,0
0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0.7964981830194913,0.0039643211100099,0.1995374958704988,0
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.7040816326530612,0.1496598639455782,0.1462585034013605,0
0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0.6292134831460674,0.146067415730337,0.2247191011235955,1
1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0.7372881355932204,0.0084745762711864,0.2542372881355932,1
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.7779076563413209,0.0035067212156633,0.2185856224430157,0
0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0.6338028169014085,0.1408450704225352,0.2253521126760563,1
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.7909305064782096,0.0035335689045936,0.2055359246171967,0
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.68,0.1066666666666666,0.2133333333333333,1
0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0.7232142857142857,0.0625,0.2142857142857142,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7929411764705883,0.0188235294117647,0.188235294117647,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6909871244635193,0.1630901287553648,0.1459227467811159,0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.7094594594594594,0.1452702702702702,0.1452702702702702,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8410596026490066,0.0,0.1589403973509933,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8128342245989305,0.0,0.1871657754010695,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8375,0.0,0.1625,0
0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0.6323529411764706,0.1764705882352941,0.1911764705882352,1
0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0.6176470588235294,0.1274509803921568,0.2549019607843137,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6111111111111112,0.1944444444444444,0.1944444444444444,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.7980427046263345,0.0026690391459074,0.199288256227758,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5555555555555556,0.2345679012345679,0.2098765432098765,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8115501519756839,0.0,0.1884498480243161,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6920152091254753,0.1634980988593156,0.1444866920152091,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6138613861386139,0.2079207920792079,0.1782178217821782,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7320754716981132,0.1320754716981132,0.1358490566037735,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7866666666666666,0.0152380952380952,0.1980952380952381,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7736411020104245,0.0044676098287416,0.2218912881608339,0
1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0.7191011235955056,0.0112359550561797,0.2696629213483146,1
0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0.7054794520547946,0.0616438356164383,0.2328767123287671,1
0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0.6637168141592921,0.1150442477876106,0.2212389380530973,1
1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0.7674418604651163,0.0,0.2325581395348837,1
0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0.7007874015748031,0.0866141732283464,0.2125984251968504,1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.7806267806267806,0.0,0.2193732193732193,0
1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0.7341772151898734,0.0379746835443038,0.2278481012658227,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7047244094488189,0.1614173228346456,0.1338582677165354,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84375,0.0,0.15625,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6744186046511628,0.1550387596899224,0.1705426356589147,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7938671209540034,0.0119250425894378,0.1942078364565587,0
1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0.73,0.01,0.26,1
1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0.726775956284153,0.0109289617486338,0.2622950819672131,1
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0.6376811594202898,0.144927536231884,0.217391304347826,1
0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0.6384180790960452,0.1129943502824858,0.2485875706214689,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8666666666666667,0.0,0.1333333333333333,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.7966292134831461,0.0033707865168539,0.2,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7170542635658915,0.1434108527131783,0.1395348837209302,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8382352941176471,0.0,0.1617647058823529,0
0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0.5673758865248227,0.3035460992907801,0.1290780141843971,1
0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0.6322188449848024,0.1458966565349544,0.2218844984802431,1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.7819095477386935,0.0050251256281407,0.2130653266331658,0
1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0.6597938144329897,0.056701030927835,0.2835051546391752,1
0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0.6534954407294833,0.0151975683890577,0.331306990881459,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6882591093117408,0.1659919028340081,0.145748987854251,0
1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0.7192982456140351,0.0,0.2807017543859649,1
0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0.5517241379310345,0.2019704433497537,0.2463054187192118,1
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.7156862745098039,0.1405228758169934,0.1437908496732026,0
0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0.6261682242990654,0.1214953271028037,0.2523364485981308,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5842696629213483,0.2134831460674157,0.2022471910112359,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6708860759493671,0.1814345991561181,0.1476793248945147,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.7881944444444444,0.0017361111111111,0.2100694444444444,0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.6950819672131148,0.1475409836065573,0.1573770491803278,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.7534246575342466,0.0222602739726027,0.2243150684931507,0
0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0.2494004796163069,0.4412470023980815,0.3093525179856115,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7933333333333333,0.0066666666666666,0.2,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.7808346213292118,0.0058732612055641,0.2132921174652241,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7918552036199095,0.002262443438914,0.2058823529411764,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7286585365853658,0.0274390243902439,0.2439024390243902,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.7900146842878121,0.0014684287812041,0.2085168869309838,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.8020594965675057,0.0034324942791762,0.1945080091533181,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7742504409171076,0.0035273368606701,0.2222222222222222,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7764390896921017,0.0107095046854083,0.2128514056224899,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8269230769230769,0.0,0.173076923076923,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7905604719764012,0.0014749262536873,0.2079646017699115,0
0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0.7074829931972789,0.0544217687074829,0.238095238095238,1
0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0.7155963302752294,0.1009174311926605,0.1834862385321101,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.8090909090909091,0.0,0.1909090909090909,1
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0.6612903225806451,0.0967741935483871,0.2419354838709677,1
0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0.6487603305785123,0.1859504132231405,0.1652892561983471,1
0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0.6331360946745562,0.1479289940828402,0.2189349112426035,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7969924812030075,0.0225563909774436,0.1804511278195488,0
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0.7415730337078652,0.0561797752808988,0.2022471910112359,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8247422680412371,0.0,0.1752577319587628,0
1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0.7213114754098361,0.0109289617486338,0.2677595628415301,1
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0.6774193548387096,0.075268817204301,0.2473118279569892,1
1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0.7268292682926829,0.0097560975609756,0.2634146341463415,1
1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0.7976878612716763,0.0,0.2023121387283237,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7149122807017544,0.1491228070175438,0.1359649122807017,0
1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0.7297297297297297,0.0067567567567567,0.2635135135135135,1
1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0.7475728155339806,0.0097087378640776,0.2427184466019417,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7975708502024291,0.0016194331983805,0.2008097165991902,0
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.7877343501747697,0.0009532888465204,0.2113123609787099,0
0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0.5990566037735849,0.1933962264150943,0.2075471698113207,1
1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0.7203389830508474,0.0084745762711864,0.2711864406779661,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782608695652174,0.0,0.217391304347826,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.1626016260162601,0.1707317073170731,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8287671232876712,0.0,0.1712328767123287,0
0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0.7094594594594594,0.0608108108108108,0.2297297297297297,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6456692913385826,0.1574803149606299,0.1968503937007874,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.7917760279965005,0.0,0.2082239720034995,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7747875354107648,0.0042492917847025,0.2209631728045325,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7906137184115524,0.0,0.2093862815884476,0
0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0.6695652173913044,0.0869565217391304,0.2434782608695652,1
